epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,237.665,1.1779,1.19968,1.24052,1.18944,0,0.62618,0.30458,0.36096,0.1952,0.55617,0.27166,0.2653,0.07602,1.65785,1.24918,1.89409,1.5025,0,0.0016436,0.0016436,0.0016436
29,248.189,1.22656,1.2169,1.27857,1.22889,0,0.28778,0.36168,0.21886,0.10084,0.2364,0.24476,0.14419,0.03794,1.73473,1.3053,2.17188,1.57874,0,0.0016304,0.0016304,0.0016304
30,256.398,1.24239,1.26625,1.25402,1.18763,0,0.37078,0.30769,0.24481,0.1217,0.32906,0.27972,0.17256,0.04963,1.82069,1.20595,2.33647,1.59442,0,0.0016172,0.0016172,0.0016172
31,264.244,1.22763,1.27653,1.20517,1.18752,0,0.3583,0.35664,0.2549,0.13073,0.25202,0.29371,0.14494,0.04217,1.74275,1.18921,2.0748,1.54493,0,0.001604,0.001604,0.001604
32,271.216,1.20264,1.19878,1.17792,1.1865,0,0.38594,0.30769,0.28373,0.13867,0.325,0.26573,0.18866,0.05329,1.69107,1.23118,2.07862,1.51464,0,0.0015908,0.0015908,0.0015908
33,281.466,1.21504,1.33365,1.21913,1.17408,0,0.40207,0.3007,0.29678,0.15674,0.33661,0.25175,0.21281,0.06054,1.79241,1.15209,2.07253,1.6325,0,0.0015776,0.0015776,0.0015776
34,291.766,1.15436,1.22974,1.15435,1.14696,0,0.45568,0.28671,0.25192,0.12771,0.3711,0.25175,0.208,0.06883,1.82043,1.24256,2.1264,1.57124,0,0.0015644,0.0015644,0.0015644
35,298.328,1.1701,1.27473,1.16598,1.16395,0,0.44677,0.32755,0.32848,0.16788,0.49047,0.3007,0.24779,0.06823,1.64591,1.19232,1.93313,1.50883,0,0.0015512,0.0015512,0.0015512
36,306.883,1.15342,1.22124,1.12873,1.15596,0,0.43766,0.35664,0.31717,0.1562,0.42456,0.27346,0.20486,0.05579,1.67728,1.20405,1.9299,1.46533,0,0.001538,0.001538,0.001538
37,316.131,1.12521,1.19811,1.09678,1.14663,0,0.56214,0.32168,0.36093,0.18705,0.43466,0.25175,0.22542,0.07108,1.62773,1.17919,1.95607,1.48526,0,0.0015248,0.0015248,0.0015248
38,325.264,1.16158,1.27467,1.14567,1.1551,0,0.61102,0.29371,0.35708,0.20832,0.46442,0.23077,0.24092,0.06331,1.62949,1.26166,1.96582,1.47312,0,0.0015116,0.0015116,0.0015116
39,332.195,1.1353,1.2485,1.12418,1.12042,0,0.4375,0.36986,0.32205,0.17007,0.35325,0.29371,0.2264,0.06653,1.64866,1.23695,1.94391,1.44047,0,0.0014984,0.0014984,0.0014984
40,342.361,1.07126,1.12493,1.06101,1.11924,0,0.4834,0.40571,0.36768,0.1862,0.35544,0.30769,0.20688,0.06665,1.67477,1.21709,1.9034,1.46378,0,0.0014852,0.0014852,0.0014852
41,349.112,1.09065,1.12103,1.07727,1.12709,0,0.3948,0.46987,0.38111,0.20083,0.46103,0.30769,0.27177,0.07593,1.64726,1.14886,1.79399,1.4473,0,0.001472,0.001472,0.001472
42,358.196,1.09837,1.19399,1.06338,1.12783,0,0.46056,0.31644,0.3057,0.15494,0.30373,0.32168,0.20214,0.06252,1.7088,1.14519,2.11889,1.51173,0,0.0014588,0.0014588,0.0014588
43,367.085,1.07413,1.22519,1.04108,1.12385,0,0.41802,0.35664,0.30273,0.16629,0.2867,0.30769,0.21861,0.07094,1.64605,1.22193,1.93425,1.45669,0,0.0014456,0.0014456,0.0014456
44,374.832,1.08472,1.16882,1.0813,1.13983,0,0.46027,0.37063,0.36773,0.21787,0.40816,0.32867,0.27463,0.08027,1.66398,1.14531,1.84669,1.47258,0,0.0014324,0.0014324,0.0014324
45,386.368,1.06323,1.15237,1.03742,1.13712,0,0.45866,0.38462,0.31575,0.17347,0.44049,0.26573,0.222,0.0751,1.64247,1.20115,1.95434,1.43598,0,0.0014192,0.0014192,0.0014192
46,392.711,1.13012,1.20743,1.08939,1.13496,0,0.38112,0.42657,0.3383,0.17984,0.30341,0.27972,0.22335,0.06543,1.69251,1.16819,1.9682,1.55928,0,0.001406,0.001406,0.001406
47,402.362,1.01897,1.15991,0.97134,1.09669,0,0.54545,0.36085,0.34906,0.19504,0.41904,0.29371,0.20107,0.06042,1.65622,1.21873,1.9579,1.42324,0,0.0013928,0.0013928,0.0013928
48,409.586,1.0973,1.15311,1.01828,1.10969,0,0.5162,0.32867,0.31158,0.16777,0.46106,0.27273,0.22106,0.05796,1.69351,1.17937,2.03126,1.47455,0,0.0013796,0.0013796,0.0013796
49,417.902,1.1433,1.22397,1.07908,1.14573,0,0.45723,0.33566,0.33065,0.18854,0.4779,0.28671,0.24495,0.07141,1.62071,1.12599,1.87369,1.46239,0,0.0013664,0.0013664,0.0013664
50,426.521,1.10509,1.28938,1.05632,1.14138,0,0.44415,0.37063,0.38146,0.22092,0.5806,0.27273,0.26845,0.08215,1.50564,1.1381,1.79145,1.37751,0,0.0013532,0.0013532,0.0013532
51,435.17,1.09855,1.27469,1.03996,1.10523,0,0.47849,0.41064,0.36354,0.18011,0.44598,0.34266,0.27898,0.08362,1.66605,1.13971,1.82662,1.47486,0,0.00134,0.00134,0.00134
52,442.317,1.0357,1.13744,0.99305,1.11472,0,0.48144,0.35664,0.34445,0.18212,0.42185,0.27972,0.2229,0.05775,1.58414,1.21849,1.81074,1.41021,0,0.0013268,0.0013268,0.0013268
53,452.096,1.09344,1.18144,1.03892,1.10927,0,0.46798,0.38462,0.3428,0.21163,0.38326,0.31469,0.22174,0.07604,1.51462,1.13858,1.89318,1.3571,0,0.0013136,0.0013136,0.0013136
54,458.941,1.0224,1.19831,0.94084,1.07585,0,0.50048,0.37762,0.34893,0.19856,0.42634,0.32168,0.24409,0.07313,1.54946,1.17356,1.9214,1.39447,0,0.0013004,0.0013004,0.0013004
55,467.622,0.95454,1.0705,0.87548,1.06869,0,0.53543,0.38462,0.40267,0.23185,0.41264,0.30769,0.25683,0.07712,1.54853,1.18524,1.79016,1.38019,0,0.0012872,0.0012872,0.0012872
56,474.508,1.00038,1.12652,0.9143,1.05961,0,0.70611,0.38462,0.44883,0.23528,0.60477,0.32867,0.33302,0.09421,1.63862,1.1294,1.79222,1.47632,0,0.001274,0.001274,0.001274
57,484.752,1.00645,1.13594,0.93874,1.08319,0,0.50682,0.3986,0.41925,0.22698,0.45868,0.3007,0.2982,0.09028,1.59298,1.18879,1.82886,1.39291,0,0.0012608,0.0012608,0.0012608
58,491.854,0.9975,1.16685,0.91118,1.06072,0,0.54283,0.34965,0.40815,0.24305,0.57028,0.27842,0.28682,0.08955,1.5387,1.1498,1.76116,1.38351,0,0.0012476,0.0012476,0.0012476
59,500.014,1.01002,1.14243,0.95933,1.08989,0,0.60769,0.34965,0.40469,0.257,0.46705,0.29371,0.28059,0.08998,1.47459,1.1915,1.76782,1.32358,0,0.0012344,0.0012344,0.0012344
60,506.729,1.0055,1.16133,0.92802,1.04027,0,0.69652,0.35312,0.43295,0.25153,0.61212,0.30901,0.31304,0.10585,1.41616,1.16497,1.76575,1.27581,0,0.0012212,0.0012212,0.0012212
