epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
124,1021.42,0.68135,1.01366,0.57,0.9308,0,0.57325,0.46154,0.46925,0.33101,0.65524,0.35664,0.34784,0.11541,1.2452,1.17254,1.58189,1.25955,0,0.0003764,0.0003764,0.0003764
125,1027.86,0.70985,1.03921,0.57753,0.93848,0,0.63898,0.43321,0.4538,0.32487,0.68948,0.34161,0.33988,0.12089,1.23157,1.16469,1.57683,1.22811,0,0.0003632,0.0003632,0.0003632
126,1035.77,0.69488,1.02321,0.59111,0.92844,0,0.66609,0.43245,0.46115,0.32959,0.64824,0.33566,0.33905,0.12635,1.20234,1.11699,1.59667,1.20774,0,0.00035,0.00035,0.00035
127,1042.99,0.72334,1.03381,0.57994,0.95027,0,0.71221,0.44056,0.46737,0.33134,0.62151,0.38462,0.35446,0.12825,1.22338,1.15072,1.58214,1.23277,0,0.0003368,0.0003368,0.0003368
128,1050.79,0.69532,1.02372,0.54488,0.95372,0,0.82487,0.39161,0.4692,0.33699,0.68055,0.33566,0.33788,0.1254,1.23361,1.11324,1.60951,1.24467,0,0.0003236,0.0003236,0.0003236
129,1059.34,0.71558,1.04094,0.56965,0.93527,0,0.7528,0.40559,0.4715,0.34405,0.68321,0.33566,0.33263,0.12398,1.23773,1.0971,1.5912,1.25875,0,0.0003104,0.0003104,0.0003104
130,1067.56,0.66984,1.00359,0.55035,0.94184,0,0.81552,0.3986,0.48761,0.34494,0.70106,0.34266,0.35,0.12112,1.26059,1.13573,1.57118,1.27565,0,0.0002972,0.0002972,0.0002972
131,1075.82,0.67806,0.97777,0.54636,0.92359,0,0.79296,0.40178,0.49637,0.35857,0.59984,0.38462,0.36943,0.13459,1.22212,1.11615,1.53487,1.24016,0,0.000284,0.000284,0.000284
132,1084.1,0.69414,1.02461,0.55229,0.92719,0,0.78677,0.41958,0.48526,0.3454,0.69466,0.37063,0.36028,0.13373,1.26373,1.13569,1.57115,1.26021,0,0.0002708,0.0002708,0.0002708
133,1090.94,0.66829,1.02399,0.54081,0.93027,0,0.7076,0.44056,0.47211,0.33956,0.63884,0.37063,0.33111,0.12259,1.26221,1.137,1.60135,1.24387,0,0.0002576,0.0002576,0.0002576
134,1099.64,0.69344,1.04318,0.55516,0.93053,0,0.70094,0.41958,0.47747,0.33798,0.64041,0.36364,0.35071,0.12321,1.25911,1.12715,1.57821,1.25488,0,0.0002444,0.0002444,0.0002444
135,1106.66,0.64857,0.99079,0.5316,0.92794,0,0.62854,0.47552,0.47985,0.34689,0.64292,0.37063,0.34089,0.12492,1.20796,1.11962,1.54939,1.23045,0,0.0002312,0.0002312,0.0002312
136,1117.67,0.65614,0.98935,0.52835,0.93827,0,0.70171,0.43357,0.48102,0.34627,0.62343,0.35664,0.34243,0.12236,1.21714,1.13255,1.56192,1.24128,0,0.000218,0.000218,0.000218
137,1124.15,0.68995,1.06653,0.55774,0.93534,0,0.78497,0.40848,0.46934,0.34059,0.67756,0.3527,0.33909,0.12174,1.23431,1.15785,1.57131,1.25691,0,0.0002048,0.0002048,0.0002048
138,1133.03,0.66235,1.00017,0.55503,0.92307,0,0.77178,0.40559,0.46971,0.34218,0.66533,0.34965,0.3435,0.12487,1.21948,1.12549,1.61628,1.24168,0,0.0001916,0.0001916,0.0001916
139,1140.38,0.66343,1.00958,0.5353,0.93745,0,0.74765,0.40559,0.47675,0.35305,0.67715,0.33736,0.35064,0.12516,1.22766,1.10599,1.59416,1.21944,0,0.0001784,0.0001784,0.0001784
140,1148.91,0.66911,0.94739,0.5279,0.926,0,0.78358,0.38462,0.48587,0.35983,0.69351,0.33566,0.35873,0.12981,1.23256,1.11539,1.56606,1.22034,0,0.0001652,0.0001652,0.0001652
141,1159.32,0.6841,0.91037,0.6782,0.95089,0,0.81115,0.39048,0.47421,0.35451,0.68776,0.32867,0.32929,0.1201,1.23656,1.13078,1.55473,1.2193,0,0.000152,0.000152,0.000152
142,1167.7,0.69017,0.91508,0.61379,0.93894,0,0.73969,0.3986,0.46711,0.34977,0.69294,0.33566,0.32406,0.10948,1.23617,1.15336,1.57619,1.21153,0,0.0001388,0.0001388,0.0001388
143,1173.36,0.71235,0.88583,0.56844,0.95769,0,0.7347,0.39161,0.46599,0.34734,0.6773,0.33566,0.3274,0.11102,1.25718,1.14413,1.62516,1.23504,0,0.0001256,0.0001256,0.0001256
144,1181.01,0.68948,0.93365,0.54542,0.9425,0,0.71107,0.40559,0.46039,0.34055,0.62647,0.35187,0.33409,0.11838,1.27003,1.1294,1.64037,1.25383,0,0.0001124,0.0001124,0.0001124
145,1186.61,0.68799,0.9561,0.57979,0.96322,0,0.67712,0.41064,0.47273,0.34954,0.6958,0.31992,0.32483,0.12128,1.21622,1.10852,1.55644,1.23103,0,9.92e-05,9.92e-05,9.92e-05
146,1193.21,0.63966,0.87073,0.51021,0.91361,0,0.68625,0.42657,0.47483,0.35193,0.58567,0.36364,0.34474,0.12386,1.19425,1.10475,1.53398,1.22454,0,8.6e-05,8.6e-05,8.6e-05
147,1200.78,0.67261,0.8747,0.56196,0.95188,0,0.69906,0.42657,0.47643,0.35609,0.5859,0.35664,0.33723,0.1239,1.17175,1.10421,1.49289,1.2163,0,7.28e-05,7.28e-05,7.28e-05
148,1206.56,0.7076,0.99022,0.64406,0.93187,0,0.72014,0.42657,0.47634,0.35642,0.60209,0.35664,0.33916,0.12129,1.15058,1.10744,1.48257,1.20392,0,5.96e-05,5.96e-05,5.96e-05
149,1213.75,0.5981,0.87126,0.51051,0.92193,0,0.72966,0.43357,0.48667,0.35891,0.6139,0.36364,0.34931,0.12498,1.1491,1.1089,1.50485,1.20551,0,4.64e-05,4.64e-05,4.64e-05
150,1219.29,0.65701,0.81747,0.51084,0.95548,0,0.6146,0.48252,0.47996,0.35584,0.60334,0.36364,0.34703,0.12032,1.16428,1.11149,1.52534,1.21934,0,3.32e-05,3.32e-05,3.32e-05
